datetime,open,high,low,close,volume
2026-04-24 00:00:00+00:00,2332.300048828125,2333.89990234375,2327.77001953125,2332.7900390625,0
2026-04-24 00:15:00+00:00,2332.52001953125,2338.239990234375,2330.64990234375,2334.56005859375,0
2026-04-24 00:30:00+00:00,2334.780029296875,2337.52001953125,2332.949951171875,2332.969970703125,0
2026-04-24 00:45:00+00:00,2333.0,2336.75,2330.929931640625,2333.159912109375,0
2026-04-24 01:00:00+00:00,2333.510009765625,2333.510009765625,2324.179931640625,2326.31005859375,0
2026-04-24 01:15:00+00:00,2327.1298828125,2327.1298828125,2322.1201171875,2322.300048828125,573915136
2026-04-24 01:30:00+00:00,2322.27001953125,2326.7099609375,2319.8701171875,2322.35009765625,109387776
2026-04-24 01:45:00+00:00,2322.449951171875,2334.3701171875,2321.919921875,2333.60009765625,123031552
2026-04-24 02:00:00+00:00,2333.199951171875,2336.2900390625,2328.300048828125,2330.06005859375,18913280
2026-04-24 02:15:00+00:00,2330.06005859375,2330.419921875,2325.419921875,2325.780029296875,0
2026-04-24 02:30:00+00:00,2325.7900390625,2330.60009765625,2325.7900390625,2330.110107421875,78200832
2026-04-24 02:45:00+00:00,2331.179931640625,2331.199951171875,2316.530029296875,2320.659912109375,268115968
2026-04-24 03:00:00+00:00,2320.909912109375,2322.669921875,2317.77001953125,2320.39990234375,57839616
2026-04-24 03:15:00+00:00,2320.39990234375,2320.39990234375,2309.639892578125,2312.199951171875,0
2026-04-24 03:30:00+00:00,2311.4599609375,2311.5,2302.02001953125,2305.81005859375,80158720
2026-04-24 03:45:00+00:00,2305.5400390625,2309.739990234375,2305.5400390625,2309.22998046875,65056768
2026-04-24 04:00:00+00:00,2308.919921875,2311.06005859375,2307.43994140625,2309.85009765625,18810880
2026-04-24 04:15:00+00:00,2309.75,2312.260009765625,2305.27001953125,2305.800048828125,6696960
2026-04-24 04:30:00+00:00,2305.6298828125,2307.89990234375,2301.64990234375,2305.820068359375,130410496
2026-04-24 04:45:00+00:00,2305.860107421875,2309.219970703125,2305.719970703125,2307.0,33423360
2026-04-24 05:00:00+00:00,2306.2900390625,2307.60009765625,2303.31005859375,2303.7099609375,170924032
2026-04-24 05:15:00+00:00,2304.39990234375,2305.75,2300.860107421875,2305.47998046875,139460608
2026-04-24 05:30:00+00:00,2306.330078125,2311.2900390625,2306.330078125,2309.699951171875,5523456
2026-04-24 05:45:00+00:00,2309.889892578125,2317.580078125,2309.889892578125,2315.2099609375,145520640
2026-04-24 06:00:00+00:00,2315.699951171875,2316.409912109375,2313.030029296875,2316.409912109375,74065920
2026-04-24 06:15:00+00:00,2316.14990234375,2317.860107421875,2313.590087890625,2314.31005859375,0
2026-04-24 06:30:00+00:00,2314.889892578125,2314.919921875,2309.5,2310.070068359375,129187840
2026-04-24 06:45:00+00:00,2310.27001953125,2313.6201171875,2309.570068359375,2309.89990234375,19410944
2026-04-24 07:00:00+00:00,2309.199951171875,2317.340087890625,2309.199951171875,2314.800048828125,150067200
2026-04-24 07:15:00+00:00,2314.5400390625,2315.949951171875,2312.2900390625,2315.239990234375,0
2026-04-24 07:30:00+00:00,2315.25,2316.340087890625,2312.830078125,2313.550048828125,141293568
