datetime,open,high,low,close,volume
2026-04-22 00:00:00+00:00,76362.9296875,76519.9921875,76329.65625,76430.0078125,97406976
2026-04-22 00:15:00+00:00,76425.0,76453.7421875,76268.1875,76288.0,52256768
2026-04-22 00:30:00+00:00,76302.2578125,76421.03125,76234.046875,76334.9296875,788041728
2026-04-22 00:45:00+00:00,76354.0,76383.4296875,76256.8203125,76380.46875,15200256
2026-04-22 01:00:00+00:00,76359.6484375,76432.9375,76300.0,76403.2578125,22740992
2026-04-22 01:15:00+00:00,76391.3671875,76393.171875,76159.640625,76177.78125,183226368
2026-04-22 01:30:00+00:00,76156.7421875,76296.03125,76156.7421875,76264.5625,0
2026-04-22 01:45:00+00:00,76264.546875,76349.7890625,76214.0,76315.6484375,146210816
2026-04-22 02:00:00+00:00,76330.0,76877.5703125,76242.8828125,76754.046875,79343616
2026-04-22 02:15:00+00:00,76798.2578125,77264.0078125,76798.2578125,77256.0078125,583409664
2026-04-22 02:30:00+00:00,77308.0234375,77370.640625,77093.9921875,77270.0,684539904
2026-04-22 02:45:00+00:00,77270.4765625,77668.0,77170.8203125,77626.0078125,348053504
2026-04-22 03:00:00+00:00,77627.359375,77746.8828125,77496.2109375,77629.7265625,519819264
2026-04-22 03:15:00+00:00,77615.0234375,77622.65625,77430.0,77543.5703125,817397760
2026-04-22 03:30:00+00:00,77555.609375,77598.6875,77430.0,77595.921875,240402432
2026-04-22 03:45:00+00:00,77595.921875,77631.6171875,77508.1015625,77549.65625,201740288
2026-04-22 04:00:00+00:00,77541.546875,77643.796875,77501.0234375,77504.046875,289648640
2026-04-22 04:15:00+00:00,77502.90625,77535.09375,77386.0,77527.1875,211804160
2026-04-22 04:30:00+00:00,77543.703125,77711.1875,77493.640625,77572.4765625,139255808
2026-04-22 04:45:00+00:00,77570.71875,77604.9921875,77463.546875,77535.953125,939802624
2026-04-22 05:00:00+00:00,77552.03125,77606.609375,77464.0,77555.6171875,151760896
2026-04-22 05:15:00+00:00,77555.609375,78429.28125,77546.7109375,78259.9765625,957714432
2026-04-22 05:30:00+00:00,78283.2578125,78346.828125,78018.921875,78126.84375,1111207936
2026-04-22 05:45:00+00:00,78122.8828125,78202.953125,77953.59375,77991.9921875,593539072
2026-04-22 06:00:00+00:00,78000.75,78024.8671875,77908.0,77946.0,493973504
2026-04-22 06:15:00+00:00,77964.6328125,78050.7421875,77934.46875,77980.3125,191750144
2026-04-22 06:30:00+00:00,78009.296875,78027.828125,77913.9609375,77982.4296875,75309056
2026-04-22 06:45:00+00:00,77971.40625,78029.046875,77938.0,78024.8828125,140320768
2026-04-22 07:00:00+00:00,78027.609375,78123.796875,77982.25,78114.2265625,31240192
2026-04-22 07:15:00+00:00,78107.7265625,78114.2265625,77834.953125,77905.6015625,781287424
2026-04-22 07:30:00+00:00,77906.0078125,78077.140625,77858.1484375,78066.4765625,662728704
2026-04-22 07:45:00+00:00,78077.140625,78124.6015625,77990.0,78025.796875,0
2026-04-22 08:00:00+00:00,78055.2109375,78193.5703125,78032.1328125,78159.546875,216432640
2026-04-22 08:15:00+00:00,78163.4296875,78218.0,77990.0703125,77991.3203125,396517376
2026-04-22 08:30:00+00:00,77985.0,78040.6796875,77960.3515625,77960.3515625,198275072
2026-04-22 08:45:00+00:00,77973.9765625,78084.4375,77964.0078125,78029.703125,39428096
2026-04-22 09:00:00+00:00,78008.7578125,78108.4765625,77971.3125,78065.6328125,108896256
2026-04-22 09:15:00+00:00,78065.6171875,78178.78125,77972.9609375,78171.9609375,152305664
2026-04-22 09:30:00+00:00,78180.0,78194.03125,78071.140625,78162.9609375,86290432
2026-04-22 09:45:00+00:00,78160.2578125,78160.2578125,77989.5625,78015.5625,36605952
2026-04-22 10:00:00+00:00,78033.3515625,78072.2421875,77964.1171875,78056.3984375,131944448
2026-04-22 10:15:00+00:00,78055.25,78096.4921875,77993.203125,78092.5625,97452032
2026-04-22 10:30:00+00:00,78084.4609375,78192.5078125,78075.0,78145.3125,94408704
2026-04-22 10:45:00+00:00,78147.8984375,78190.84375,78093.5625,78175.703125,0
2026-04-22 11:00:00+00:00,78197.59375,78308.90625,78120.9609375,78177.921875,134324224
2026-04-22 11:15:00+00:00,78186.1484375,78336.03125,78179.6875,78336.03125,42250240
2026-04-22 11:30:00+00:00,78343.609375,78394.703125,78206.4765625,78234.6796875,157806592
2026-04-22 11:45:00+00:00,78244.90625,78341.9609375,78238.6171875,78322.546875,17166336
2026-04-22 12:00:00+00:00,78329.0,78481.8828125,78248.703125,78472.4921875,228380672
2026-04-22 12:15:00+00:00,78443.8203125,78514.7890625,78183.453125,78210.328125,393703424
2026-04-22 12:30:00+00:00,78193.953125,78300.0,78141.8984375,78217.2890625,49958912
2026-04-22 12:45:00+00:00,78226.7890625,78361.5234375,78209.046875,78262.8984375,0
